# snr	lpix	mpix	boxc_width	time	dm	iblk	rawsn	total_sample	obstime_sec	mjd	dm_pccm3	ra_deg	dec_deg	ibeam	latency_ms
8.3	129	127	0	236	4	0	267	236	3.2625	60445.381745751	20.390	128.82724	-45.18069	20	1489.6
7.5	130	128	0	236	4	0	240	236	3.2625	60445.381745751	20.390	128.82114	-45.17639	20	1489.6
6.9	130	127	0	236	4	0	221	236	3.2625	60445.381745751	20.390	128.82114	-45.18068	20	1489.6
6.4	125	128	0	236	4	0	206	236	3.2625	60445.381745751	20.390	128.85162	-45.17639	20	1489.6
8.3	126	128	0	236	4	0	266	236	3.2625	60445.381745751	20.390	128.84552	-45.17639	20	1489.6
7.6	126	127	0	236	4	0	244	236	3.2625	60445.381745751	20.390	128.84552	-45.18068	20	1489.6
9.5	127	128	0	236	4	0	306	236	3.2625	60445.381745751	20.390	128.83943	-45.17639	20	1489.6
8.7	127	127	0	236	4	0	281	236	3.2625	60445.381745751	20.390	128.83943	-45.18069	20	1489.6
7.6	128	128	0	249	4	0	244	249	3.4422	60445.381747831	20.390	128.83333	-45.17639	20	1309.8
6.9	128	127	0	249	4	0	222	249	3.4422	60445.381747831	20.390	128.83333	-45.18069	20	1309.8
7.2	129	128	0	249	4	0	231	249	3.4422	60445.381747831	20.390	128.82724	-45.17639	20	1309.8
6.5	129	127	0	249	4	0	210	249	3.4422	60445.381747831	20.390	128.82724	-45.18069	20	1309.8
6.0	130	128	0	249	4	0	194	249	3.4422	60445.381747831	20.390	128.82114	-45.17639	20	1309.8
6.1	126	128	0	249	4	0	195	249	3.4422	60445.381747831	20.390	128.84552	-45.17639	20	1309.8
7.2	127	128	0	249	4	0	231	249	3.4422	60445.381747831	20.390	128.83943	-45.17639	20	1309.8
6.5	127	127	0	249	4	0	209	249	3.4422	60445.381747831	20.390	128.83943	-45.18069	20	1309.8
8.6	128	128	0	3	5	0	276	3	0.0415	60445.381708471	25.487	128.83333	-45.17639	20	4710.5
7.7	128	127	0	3	5	0	248	3	0.0415	60445.381708471	25.487	128.83333	-45.18069	20	4710.5
7.8	129	128	0	3	5	0	251	3	0.0415	60445.381708471	25.487	128.82724	-45.17639	20	4710.5
6.9	129	127	1	4	5	0	223	4	0.0553	60445.381708631	25.487	128.82724	-45.18069	20	4696.7
6.2	126	129	0	3	5	0	199	3	0.0415	60445.381708471	25.487	128.84552	-45.17209	20	4710.5
7.5	127	128	0	3	5	0	241	3	0.0415	60445.381708471	25.487	128.83943	-45.17639	20	4710.5
7.0	127	127	0	3	5	0	224	3	0.0415	60445.381708471	25.487	128.83943	-45.18069	20	4710.5
7.6	128	128	0	42	5	0	245	42	0.5806	60445.381714711	25.487	128.83333	-45.17639	20	4171.4
6.9	128	127	0	42	5	0	223	42	0.5806	60445.381714711	25.487	128.83333	-45.18069	20	4171.4
7.1	129	128	0	42	5	0	230	42	0.5806	60445.381714711	25.487	128.82724	-45.17639	20	4171.4
6.5	129	127	0	42	5	0	210	42	0.5806	60445.381714711	25.487	128.82724	-45.18069	20	4171.4
6.0	130	128	0	42	5	0	194	42	0.5806	60445.381714711	25.487	128.82114	-45.17639	20	4171.4
6.2	126	128	0	42	5	0	201	42	0.5806	60445.381714711	25.487	128.84552	-45.17639	20	4171.4
7.3	127	128	0	42	5	0	235	42	0.5806	60445.381714711	25.487	128.83943	-45.17639	20	4171.4
6.6	127	127	0	42	5	0	212	42	0.5806	60445.381714711	25.487	128.83943	-45.18069	20	4171.4
6.3	128	128	0	81	5	0	203	81	1.1197	60445.381720951	25.487	128.83333	-45.17639	20	3632.3
6.0	127	128	0	81	5	0	194	81	1.1197	60445.381720951	25.487	128.83943	-45.17639	20	3632.3
6.2	128	128	1	146	5	0	201	146	2.0183	60445.381731351	25.487	128.83333	-45.17639	20	2733.7
8.4	128	128	0	152	5	0	271	152	2.1012	60445.381732311	25.487	128.83333	-45.17639	20	2650.8
7.8	128	127	0	152	5	0	250	152	2.1012	60445.381732311	25.487	128.83333	-45.18069	20	2650.8
7.8	129	128	0	152	5	0	251	152	2.1012	60445.381732311	25.487	128.82724	-45.17639	20	2650.8
7.2	129	127	0	152	5	0	231	152	2.1012	60445.381732311	25.487	128.82724	-45.18069	20	2650.8
6.4	130	128	0	152	5	0	205	152	2.1012	60445.381732311	25.487	128.82114	-45.17639	20	2650.8
6.9	126	128	0	152	5	0	223	152	2.1012	60445.381732311	25.487	128.84552	-45.17639	20	2650.8
6.4	126	127	0	152	5	0	206	152	2.1012	60445.381732311	25.487	128.84552	-45.18068	20	2650.8
8.1	127	128	0	152	5	0	261	152	2.1012	60445.381732311	25.487	128.83943	-45.17639	20	2650.8
7.5	127	127	0	152	5	0	240	152	2.1012	60445.381732311	25.487	128.83943	-45.18069	20	2650.8
9.8	128	128	0	165	5	0	315	165	2.2810	60445.381734391	25.487	128.83333	-45.17639	20	2471.1
8.9	128	127	0	165	5	0	287	165	2.2810	60445.381734391	25.487	128.83333	-45.18069	20	2471.1
