# target_slot, uvidx, shift_flag, upix, vpix
11 561 0 60 74
12 5254 0 67 74
13 3062 0 69 74
13 3815 0 69 74
14 2792 0 70 74
15 617 0 72 74
15 1701 0 72 74
15 2263 0 72 74
15 5266 1 -1 -1
0 1912 0 73 74
0 2289 0 73 74
0 3006 0 73 74
0 3403 0 73 74
1 462 0 37 75
2 2966 0 41 75
3 2819 0 42 75
4 1494 0 50 75
5 1768 0 51 75
6 602 0 60 75
7 4804 0 67 75
7 5200 0 67 75
8 4700 0 68 75
9 3061 0 70 75
10 2733 0 71 75
11 1430 0 73 75
12 1656 0 74 75
12 1911 0 74 75
12 2668 0 74 75
13 2818 0 43 76
14 2492 0 44 76
14 2997 0 44 76
15 1683 0 51 76
15 5266 1 -1 -1
0 1009 0 52 76
0 1805 0 52 76
1 4775 0 68 76
2 4337 0 69 76
2 4662 0 69 76
3 2512 0 71 76
4 2059 0 72 76
5 1124 0 74 76
5 1542 0 74 76
6 1209 0 75 76
6 1698 0 75 76
6 2324 0 75 76
6 2823 0 75 76
7 2436 0 44 77
8 2134 0 45 77
9 2435 0 46 77
10 1250 0 52 77
11 899 0 53 77
12 1115 0 54 77
13 4773 0 57 77
13 5100 0 57 77
14 5010 0 58 77
15 4251 0 69 77
15 5266 1 -1 -1
0 3937 0 70 77
1 2511 0 72 77
2 1918 0 73 77
2 2058 0 73 77
3 817 0 75 77
4 1022 0 76 77
4 1208 0 76 77
4 2027 0 76 77
5 2282 0 46 78
6 1810 0 47 78
6 2321 0 47 78
7 1008 0 54 78
8 404 0 55 78
8 1149 0 55 78
9 4569 0 58 78
10 4772 0 59 78
11 4298 0 70 78
12 3402 0 71 78
12 4215 0 71 78
13 1411 0 74 78
14 1917 0 75 78
15 591 0 76 78
15 875 0 76 78
15 5266 1 -1 -1
0 547 0 77 78
0 1021 0 77 78
0 1654 0 77 78
0 2258 0 77 78
1 1895 0 47 79
2 1497 0 48 79
3 1727 0 49 79
4 616 0 55 79
5 216 0 56 79
6 521 0 57 79
7 4294 0 59 79
7 4886 0 59 79
8 3968 0 60 79
9 3298 0 72 79
10 3767 0 73 79
11 1433 0 75 79
12 1211 0 76 79
12 1916 0 76 79
13 195 0 77 79
14 418 0 78 79
14 546 0 78 79
14 1404 0 78 79
15 1726 0 49 80
15 5266 1 -1 -1
0 1152 0 50 80
0 1644 0 50 80
1 1187 0 51 80
2 366 0 57 80
3 477 0 58 80
4 4332 0 60 80
5 3708 0 61 80
5 4003 0 61 80
6 3707 0 62 80
7 2784 0 73 80
7 3712 0 73 80
8 3003 0 74 80
9 821 0 76 80
10 1167 0 77 80
11 226 0 78 80
12 370 0 79 80
12 630 0 79 80
12 1018 0 79 80
12 1653 0 79 80
13 972 0 51 81
14 928 0 52 81
15 4813 0 55 81
15 5152 0 55 81
15 5266 1 -1 -1
0 4812 0 56 81
1 3399 0 62 81
2 3481 0 63 81
3 5248 0 68 81
4 2757 0 74 81
5 2503 0 75 81
5 3051 0 75 81
6 842 0 77 81
7 552 0 78 81
7 1210 0 78 81
8 753 0 80 81
9 1186 0 52 82
10 579 0 53 82
10 971 0 53 82
11 485 0 54 82
12 4749 0 56 82
13 4391 0 57 82
13 4602 0 57 82
14 5208 0 59 82
15 3620 1 63 82
0 2724 0 64 82
0 3804 0 64 82
1 4695 0 68 82
1 5196 0 68 82
2 4694 0 69 82
3 2180 0 75 82
4 2226 0 76 82
5 266 0 78 82
6 422 0 79 82
7 343 0 81 82
7 1054 0 81 82
8 406 0 54 83
8 5259 0 54 83
9 255 0 55 83
9 5203 0 55 83
10 619 0 56 83
11 3945 0 58 83
12 4150 0 59 83
12 4817 0 59 83
12 5264 0 59 83
13 4554 0 60 83
14 5029 0 61 83
15 2723 0 65 83
15 5266 1 -1 -1
0 2538 0 66 83
0 2968 0 66 83
1 4736 0 69 83
2 4136 0 70 83
2 4800 0 70 83
3 2286 0 76 83
4 1648 0 77 83
4 2396 0 77 83
5 311 0 79 83
6 497 0 80 83
7 167 0 82 83
8 4983 0 23 84
8 5047 0 23 84
9 4720 0 24 84
10 4665 0 55 84
11 293 0 56 84
11 4576 0 56 84
12 4184 0 59 84
13 3335 0 60 84
14 3811 0 61 84
14 4310 0 61 84
14 4635 0 61 84
15 4109 0 62 84
15 5266 1 -1 -1
0 2284 0 66 84
1 2103 0 67 84
2 4291 0 70 84
3 3891 0 71 84
4 3800 0 72 84
4 4370 0 72 84
5 1735 0 77 84
6 1423 0 78 84
7 450 0 83 84
8 4982 0 24 85
9 4641 0 25 85
10 4679 0 26 85
11 4900 0 27 85
12 5026 0 56 85
13 4218 0 57 85
13 4747 0 57 85
14 4100 0 58 85
15 3381 1 61 85
0 3058 0 62 85
0 3632 0 62 85
0 4187 0 62 85
1 3727 0 63 85
1 4011 0 63 85
2 4395 0 64 85
3 2497 0 67 85
4 1770 0 68 85
4 2178 0 68 85
5 1813 0 69 85
6 3327 0 72 85
7 3542 0 73 85
8 1858 0 78 85
9 836 0 79 85
9 1773 0 79 85
10 4845 0 80 85
10 5095 0 80 85
11 4115 0 27 86
12 4049 0 28 86
13 4158 0 29 86
14 4180 0 58 86
15 3680 0 59 86
15 4071 0 59 86
15 5266 1 -1 -1
0 3720 0 60 86
1 3013 0 62 86
