# target_slot, uvidx, shift_flag, upix, vpix
4 4243 0 54 45
5 1786 0 62 45
6 1174 0 63 45
6 1714 0 63 45
6 2954 0 63 45
6 3595 0 63 45
7 2964 0 71 45
8 3041 0 72 45
9 2134 0 77 45
10 918 0 93 45
11 3076 0 99 45
11 3505 0 99 45
12 916 0 103 45
13 1218 0 104 45
14 4612 0 116 45
15 1523 1 118 45
0 4023 0 125 45
0 4943 0 125 45
1 3394 0 132 45
1 4365 0 132 45
1 4584 0 132 45
2 2998 0 133 45
2 3573 0 133 45
3 2158 0 153 45
4 2209 0 173 45
5 2478 0 174 45
6 3801 0 54 46
6 4137 0 54 46
7 3668 0 55 46
8 1066 0 63 46
8 3161 0 63 46
9 1103 0 64 46
9 2801 0 64 46
10 2219 0 72 46
10 3130 0 72 46
11 2435 0 77 46
12 2282 0 78 46
13 1133 0 93 46
14 996 0 94 46
15 3117 1 99 46
0 2841 0 100 46
1 915 0 104 46
2 4585 0 116 46
3 1522 0 118 46
4 3989 0 125 46
5 3393 0 132 46
5 4583 0 132 46
6 2820 0 133 46
7 2157 0 153 46
8 2167 0 173 46
9 5060 0 189 46
10 3478 0 55 47
11 3761 0 56 47
12 955 0 64 47
12 3028 0 64 47
13 1173 0 65 47
13 2910 0 65 47
14 2174 0 73 47
15 1810 0 78 47
15 2321 1 78 47
0 1895 0 79 47
1 356 0 94 47
1 1175 0 94 47
2 2767 0 100 47
3 886 0 104 47
4 4081 0 116 47
4 4864 0 116 47
5 1031 0 118 47
5 1760 0 118 47
6 3606 0 125 47
6 4119 0 125 47
7 3170 0 132 47
7 3434 0 132 47
7 4113 0 132 47
7 4822 0 132 47
8 2780 0 133 47
9 2467 0 152 47
10 2199 0 153 47
11 2166 0 172 47
12 4874 0 188 47
13 4727 0 189 47
14 3396 0 56 48
15 887 0 65 48
15 2419 0 65 48
15 3027 0 65 48
15 5266 1 -1 -1
0 2418 0 66 48
1 2317 0 73 48
2 2349 0 74 48
3 1497 0 79 48
4 355 0 94 48
5 503 0 95 48
6 4915 0 96 48
6 5101 0 96 48
7 4958 0 97 48
8 2382 0 100 48
8 2912 0 100 48
9 387 0 104 48
9 1132 0 104 48
10 4048 0 116 48
11 4273 0 117 48
12 890 0 118 48
13 3389 0 125 48
14 2776 0 132 48
14 3981 0 132 48
15 2359 0 133 48
15 2967 0 133 48
15 5266 1 -1 -1
0 1553 0 152 48
0 2517 0 152 48
1 1842 0 171 48
2 1598 0 172 48
2 2522 0 172 48
3 4587 0 188 48
4 2927 0 57 49
4 3617 0 57 49
5 1220 0 65 49
6 319 0 66 49
6 2118 0 66 49
7 1605 0 74 49
7 2491 0 74 49
8 1727 0 79 49
9 1726 0 80 49
10 279 0 95 49
11 4593 0 97 49
12 2164 0 101 49
13 461 0 104 49
14 386 0 105 49
15 3643 0 117 49
15 4080 1 117 49
0 889 0 118 49
1 3369 0 125 49
2 2775 0 132 49
2 3739 0 132 49
2 4016 0 132 49
3 2136 0 133 49
4 1518 0 152 49
5 1524 0 171 49
6 4235 0 187 49
