# snr	lpix	mpix	boxc_width	time	dm	iblk	rawsn	total_sample	obstime_sec	mjd	dm_pccm3	ra_deg	dec_deg
6.0	155	244	1	134	85	0	189	134	1.8524	60424.598238951	327.019	179.31509	-62.40586
14.2	154	243	1	221	85	0	445	221	3.0551	60424.598252871	327.019	179.32434	-62.41021
18.3	155	243	1	221	85	0	573	221	3.0551	60424.598252871	327.019	179.31506	-62.41018
12.9	156	243	0	220	85	0	404	220	3.0413	60424.598252711	327.019	179.30579	-62.41016
9.6	154	243	5	224	85	0	300	224	3.0966	60424.598253351	327.019	179.32434	-62.41021
12.5	155	243	5	224	85	0	390	224	3.0966	60424.598253351	327.019	179.31506	-62.41018
9.0	156	243	5	224	85	0	283	224	3.0966	60424.598253351	327.019	179.30579	-62.41016
7.4	155	242	1	249	85	0	231	249	3.4422	60424.598257351	327.019	179.31503	-62.41451
13.3	154	243	2	222	86	0	417	222	3.0689	60424.598253031	330.867	179.32434	-62.41021
16.6	155	243	2	222	86	0	519	222	3.0689	60424.598253031	330.867	179.31506	-62.41018
11.6	156	243	2	222	86	0	364	222	3.0689	60424.598253031	330.867	179.30579	-62.41016
10.4	154	243	4	224	86	0	326	224	3.0966	60424.598253351	330.867	179.32434	-62.41021
12.8	155	243	4	224	86	0	402	224	3.0966	60424.598253351	330.867	179.31506	-62.41018
8.8	156	243	5	224	86	0	277	224	3.0966	60424.598253351	330.867	179.30579	-62.41016
7.0	155	243	1	250	86	0	220	250	3.4560	60424.598257511	330.867	179.31506	-62.41018
12.6	154	243	3	223	87	0	394	223	3.0828	60424.598253191	334.714	179.32434	-62.41021
15.6	155	243	3	223	87	0	489	223	3.0828	60424.598253191	334.714	179.31506	-62.41018
11.2	156	243	1	222	87	0	350	222	3.0689	60424.598253031	334.714	179.30579	-62.41016
10.5	154	243	4	224	87	0	329	224	3.0966	60424.598253351	334.714	179.32434	-62.41021
12.9	155	243	4	224	87	0	405	224	3.0966	60424.598253351	334.714	179.31506	-62.41018
9.0	156	243	4	224	87	0	283	224	3.0966	60424.598253351	334.714	179.30579	-62.41016
6.3	155	243	3	252	87	0	197	252	3.4836	60424.598257831	334.714	179.31506	-62.41018
11.1	154	243	3	223	88	0	349	223	3.0828	60424.598253191	338.561	179.32434	-62.41021
13.8	155	243	3	223	88	0	431	223	3.0828	60424.598253191	338.561	179.31506	-62.41018
9.8	156	243	2	223	88	0	308	223	3.0828	60424.598253191	338.561	179.30579	-62.41016
10.5	154	243	4	224	88	0	328	224	3.0966	60424.598253351	338.561	179.32434	-62.41021
