# snr	lpix	mpix	boxc_width	time	dm	iblk	rawsn	total_sample	obstime_sec	mjd	dm_pccm3	ra_deg	dec_deg
6.0	146	191	1	218	84	112	158	28890	399.3754	60381.271172711	374.955	52.05583	-54.37355
6.0	171	 83	0	206	30	113	158	29134	402.7484	60381.271211751	133.913	51.86772	-54.83730
6.1	 98	 25	1	100	126	115	160	29540	408.3610	60381.271276711	562.433	52.41486	-55.08616
6.0	136	 25	0	172	42	116	158	29868	412.8952	60381.271329191	187.478	52.12945	-55.08642
6.0	249	 49	0	196	60	116	158	29892	413.2270	60381.271333031	267.825	51.28491	-54.97922
6.2	162	234	1	120	134	116	163	29816	412.1764	60381.271320871	598.143	51.94005	-54.18799
6.0	 53	101	0	159	142	118	158	30367	419.7934	60381.271409031	633.853	52.74741	-54.75891
6.1	 70	208	0	87	92	120	161	30807	425.8760	60381.271479431	410.665	52.61644	-54.29940
6.0	108	157	5	206	94	120	159	30926	427.5210	60381.271498471	419.593	52.33624	-54.51986
6.0	170	 18	5	39	148	120	158	30759	425.2124	60381.271471751	660.635	51.87440	-55.11588
6.0	202	154	0	72	68	121	158	31048	429.2076	60381.271517991	303.535	51.64088	-54.53124
6.2	175	 64	5	248	160	121	162	31224	431.6406	60381.271546151	714.200	51.83751	-54.91868
6.4	133	119	1	238	85	122	168	31470	435.0413	60381.271585511	379.419	52.15086	-54.68332
6.2	 61	254	3	40	59	123	162	31528	435.8431	60381.271594791	263.361	52.68180	-54.10067
6.0	132	154	0	245	68	123	159	31733	438.6770	60381.271627591	303.535	52.15849	-54.53288
6.1	 60	 98	0	56	133	124	160	31800	439.6032	60381.271638311	593.679	52.69533	-54.77209
6.1	  8	120	5	70	79	125	160	32070	443.3357	60381.271681511	352.636	53.08181	-54.67465
6.0	241	 78	1	103	13	126	159	32359	447.3308	60381.271727751	58.029	51.34661	-54.85545
6.7	241	 78	0	103	14	126	176	32359	447.3308	60381.271727751	62.493	51.34661	-54.85545
6.5	241	 77	1	104	14	126	171	32360	447.3446	60381.271727911	62.493	51.34653	-54.85974
6.0	200	 26	3	97	40	126	158	32353	447.2479	60381.271726791	178.550	51.64971	-55.08059
6.0	150	214	3	189	100	127	159	32701	452.0586	60381.271782471	446.375	52.02720	-54.27442
6.1	216	195	1	24	13	129	161	33048	456.8556	60381.271837991	58.029	51.54085	-54.35410
6.2	 87	116	6	41	152	129	162	33065	457.0905	60381.271840711	678.490	52.49311	-54.69570
6.1	 71	 78	7	8	8	130	161	33288	460.1733	60381.271876391	35.710	52.61432	-54.85832
6.4	124	117	1	15	161	130	168	33295	460.2701	60381.271877511	718.664	52.21777	-54.69191
6.0	 53	 82	0	140	68	131	158	33676	465.5370	60381.271938471	303.535	52.74872	-54.84044
6.0	 90	166	0	100	48	132	158	33892	468.5230	60381.271973031	214.260	52.46946	-54.48083
6.2	210	 30	0	194	71	133	162	34242	473.3614	60381.272029031	316.926	51.57500	-55.06300
6.0	210	 31	3	195	72	133	159	34243	473.3752	60381.272029191	321.390	51.57504	-55.05871
6.2	210	 31	3	196	73	133	162	34244	473.3891	60381.272029351	325.854	51.57504	-55.05871
6.0	 59	170	0	160	55	134	159	34464	476.4303	60381.272064551	245.506	52.69901	-54.46261
6.2	251	110	0	104	122	134	164	34408	475.6562	60381.272055591	544.578	51.27509	-54.71741
6.5	 31	147	1	23	23	135	170	34583	478.0754	60381.272083591	102.666	52.90818	-54.56013
6.2	 31	147	2	24	23	135	162	34584	478.0892	60381.272083751	102.666	52.90818	-54.56013
6.1	185	 18	1	107	40	135	161	34667	479.2366	60381.272097031	178.550	51.76189	-55.11543
6.0	189	180	1	247	24	136	158	35063	484.7109	60381.272160391	107.130	51.73840	-54.41990
6.4	195	129	1	248	159	136	169	35064	484.7247	60381.272160551	709.736	51.69117	-54.63900
6.2	165	113	3	91	161	137	162	35163	486.0933	60381.272176391	718.664	51.91304	-54.70868
6.1	 88	239	3	230	93	138	160	35558	491.5538	60381.272239591	415.129	52.48351	-54.16628
6.2	141	161	3	128	104	138	162	35456	490.1437	60381.272223271	464.230	52.09198	-54.50273
6.0	120	126	0	38	0	139	158	35622	492.4385	60381.272249831	0.000	52.24744	-54.65323
6.3	119	  7	0	220	36	139	166	35804	494.9545	60381.272278951	160.695	52.25776	-55.16346
6.0	221	120	1	23	153	139	158	35607	492.2312	60381.272247431	682.954	51.49806	-54.67641
6.0	200	112	0	30	19	140	158	35870	495.8669	60381.272289511	84.811	51.65321	-54.71182
6.1	226	196	0	183	37	140	160	36023	497.9820	60381.272313991	165.159	51.46746	-54.34924
6.0	111	 85	5	198	143	140	158	36038	498.1893	60381.272316391	638.316	52.31512	-54.82919
6.3	111	 85	3	198	145	140	165	36038	498.1893	60381.272316391	647.244	52.31512	-54.82919
6.2	117	 69	3	142	119	143	164	36750	508.0320	60381.272430311	531.186	52.27070	-54.89787
6.3	117	 69	3	143	121	143	167	36751	508.0458	60381.272430471	540.114	52.27070	-54.89787
6.2	135	 27	0	178	6	144	162	37042	512.0686	60381.272477031	26.783	52.13688	-55.07786
6.4	136	 27	0	178	6	144	168	37042	512.0686	60381.272477031	26.783	52.12938	-55.07785
6.0	 36	164	1	86	118	144	158	36950	510.7968	60381.272462311	526.723	52.86990	-54.48730
6.2	161	253	6	158	0	145	163	37278	515.3311	60381.272514791	0.000	51.94842	-54.10603
6.4	179	 42	1	150	76	147	168	37782	522.2983	60381.272595431	339.245	51.80720	-55.01284
6.2	186	193	3	234	139	147	162	37866	523.4596	60381.272608871	620.461	51.76130	-54.36403
6.1	 92	219	3	104	153	147	160	37736	521.6625	60381.272588071	682.954	52.45410	-54.25261
6.1	 99	167	1	153	0	148	161	38041	525.8788	60381.272636871	0.000	52.40280	-54.47671
6.0	 39	227	0	232	13	148	159	38120	526.9709	60381.272649511	58.029	52.84446	-54.21611
6.4	 40	227	1	233	13	148	168	38121	526.9847	60381.272649671	58.029	52.83709	-54.21617
6.2	 62	 64	5	254	137	148	163	38142	527.2750	60381.272653031	611.534	52.68261	-54.91801
6.1	 38	 23	0	178	84	149	161	38322	529.7633	60381.272681831	374.955	52.86646	-55.09251
6.2	229	199	0	214	39	150	163	38614	533.7999	60381.272728551	174.086	51.44570	-54.33614
6.0	186	 33	0	195	112	150	158	38595	533.5373	60381.272725511	499.940	51.75466	-55.05116
6.0	198	196	0	255	18	151	159	38911	537.9056	60381.272776071	80.348	51.67322	-54.35065
6.5	202	125	0	134	139	151	170	38790	536.2330	60381.272756711	620.461	51.63910	-54.65589
6.2	239	148	6	52	1	152	163	38964	538.6384	60381.272784552	4.464	51.36727	-54.55498
6.0	240	 95	3	108	9	152	159	39020	539.4125	60381.272793511	40.174	51.35533	-54.78258
6.0	240	 96	3	108	9	152	159	39020	539.4125	60381.272793511	40.174	51.35541	-54.77829
6.2	 49	137	0	49	25	152	162	38961	538.5969	60381.272784071	111.594	52.77494	-54.60408
6.1	 50	137	0	49	25	152	161	38961	538.5969	60381.272784071	111.594	52.76750	-54.60413
6.0	251	119	0	144	87	152	159	39056	539.9102	60381.272799271	388.346	51.27591	-54.67876
6.0	122	  5	5	64	83	153	158	39232	542.3431	60381.272827431	370.491	52.23525	-55.17202
6.0	135	194	0	14	35	154	159	39438	545.1909	60381.272860391	156.231	52.13699	-54.36071
6.2	172	135	5	188	75	154	162	39612	547.5963	60381.272888231	334.781	51.86179	-54.61399
6.1	 62	 31	1	160	157	155	161	39840	550.7482	60381.272924711	700.809	52.68507	-55.05941
6.0	229	199	0	111	59	156	159	40047	553.6097	60381.272957831	263.361	51.44568	-54.33614
6.1	 44	141	3	80	25	158	161	40528	560.2591	60381.273034791	111.594	52.81188	-54.58664
6.5	 44	141	3	80	26	158	172	40528	560.2591	60381.273034791	116.058	52.81188	-54.58664
6.1	 81	202	0	216	84	158	161	40664	562.1392	60381.273056551	374.955	52.53535	-54.32560
6.2	222	146	3	218	113	158	163	40666	562.1668	60381.273056871	504.404	51.49258	-54.56462
6.1	145	117	3	4	4	160	160	40964	566.2863	60381.273104551	17.855	52.06168	-54.69183
6.0	 19	 96	5	230	7	160	158	41190	569.4106	60381.273140711	31.246	53.00188	-54.77845
6.1	 19	 96	4	230	8	160	160	41190	569.4106	60381.273140711	35.710	53.00188	-54.77845
6.0	 18	 96	5	231	9	160	158	41191	569.4244	60381.273140871	40.174	53.00937	-54.77839
6.1	 19	 96	5	231	9	160	160	41191	569.4244	60381.273140871	40.174	53.00188	-54.77845
6.0	 19	 96	4	231	10	160	158	41191	569.4244	60381.273140871	44.638	53.00188	-54.77845
6.0	136	 10	3	243	78	160	158	41203	569.5903	60381.273142791	348.173	52.12977	-55.15062
6.0	244	216	0	243	19	162	158	41715	576.6682	60381.273224711	84.811	51.33746	-54.26191
6.0	122	252	1	202	126	163	159	41930	579.6403	60381.273259111	562.433	52.23407	-54.11065
6.3	 78	115	0	247	147	163	166	41975	580.2624	60381.273266311	656.172	52.56017	-54.69974
6.3	 79	116	0	247	147	163	165	41975	580.2624	60381.273266311	656.172	52.55268	-54.69548
6.1	 24	  4	1	200	35	164	160	42184	583.1516	60381.273299751	156.231	52.97412	-55.17298
6.0	185	244	6	56	86	164	159	42040	581.1609	60381.273276711	383.883	51.77212	-54.14422
6.1	185	244	6	57	87	164	160	42041	581.1748	60381.273276871	388.346	51.77212	-54.14422
6.0	185	244	6	57	88	164	158	42041	581.1748	60381.273276871	392.810	51.77212	-54.14422
6.0	173	124	5	165	104	164	158	42149	582.6678	60381.273294151	464.230	51.85399	-54.66123
6.0	173	124	4	166	106	164	159	42150	582.6816	60381.273294311	473.158	51.85399	-54.66123
6.6	173	124	4	166	107	164	173	42150	582.6816	60381.273294311	477.621	51.85399	-54.66123
6.1	174	124	3	165	107	164	161	42149	582.6678	60381.273294151	477.621	51.84658	-54.66120
6.2	173	124	4	166	108	164	163	42150	582.6816	60381.273294311	482.085	51.85399	-54.66123
6.1	139	213	0	188	31	165	161	42428	586.5247	60381.273338791	138.376	52.10805	-54.27884
6.0	  1	 29	0	240	130	165	158	42480	587.2435	60381.273347111	580.288	53.14456	-55.06435
6.0	 71	 25	3	228	84	167	158	42980	594.1555	60381.273427111	374.955	52.61782	-55.08543
