,SNR,lpix,mpix,boxc_width,time,dm,iblk,rawsn,total_sample,obstime_sec,mjd,dm_pccm3,ra_deg,dec_deg,cluster_id,lpix_rms,mpix_rms,centl,centm,num_samps,num_spatial
107,6.0,136,25,0,172,42,116,158,29868,412.8952,60381.271329191,187.478,52.12945,-55.08642,107,,,136.0,25.0,1,-1
108,6.0,249,49,0,196,60,116,158,29892,413.227,60381.271333031,267.825,51.28491,-54.97922,108,,,249.0,49.0,1,-1
109,6.2,162,234,1,120,134,116,163,29816,412.1764,60381.271320871,598.143,51.94005,-54.18799,109,,,162.0,234.0,1,-1
110,6.0,53,101,0,159,142,118,158,30367,419.7934,60381.271409031,633.853,52.74741,-54.75891,110,,,53.0,101.0,1,-1
111,6.1,70,208,0,87,92,120,161,30807,425.876,60381.271479431,410.665,52.61644,-54.2994,111,,,70.0,208.0,1,-1
112,6.0,108,157,5,206,94,120,159,30926,427.521,60381.271498471,419.593,52.33624,-54.51986,112,,,108.0,157.0,1,-1
113,6.0,170,18,5,39,148,120,158,30759,425.2124,60381.271471751,660.635,51.8744,-55.11588,113,,,170.0,18.0,1,-1
114,6.0,202,154,0,72,68,121,158,31048,429.2076,60381.271517991,303.535,51.64088,-54.53124,114,,,202.0,154.0,1,-1
115,6.2,175,64,5,248,160,121,162,31224,431.6406,60381.271546151,714.2,51.83751,-54.91868,115,,,175.0,64.0,1,-1
116,6.4,133,119,1,238,85,122,168,31470,435.0413,60381.271585511,379.419,52.15086,-54.68332,116,,,133.0,119.0,1,-1
117,6.2,61,254,3,40,59,123,162,31528,435.8431,60381.271594791,263.361,52.6818,-54.10067,117,,,61.0,254.0,1,-1
118,6.0,132,154,0,245,68,123,159,31733,438.677,60381.271627591,303.535,52.15849,-54.53288,118,,,132.0,154.0,1,-1
119,6.1,60,98,0,56,133,124,160,31800,439.6032,60381.271638311,593.679,52.69533,-54.77209,119,,,60.0,98.0,1,-1
120,6.1,8,120,5,70,79,125,160,32070,443.3357,60381.271681511,352.636,53.08181,-54.67465,120,,,8.0,120.0,1,-1
122,6.0,200,26,3,97,40,126,158,32353,447.2479,60381.271726791,178.55,51.64971,-55.08059,122,,,200.0,26.0,1,-1
123,6.0,150,214,3,189,100,127,159,32701,452.0586,60381.271782471,446.375,52.0272,-54.27442,123,,,150.0,214.0,1,-1
124,6.1,216,195,1,24,13,129,161,33048,456.8556,60381.271837991,58.029,51.54085,-54.3541,124,,,216.0,195.0,1,-1
125,6.2,87,116,6,41,152,129,162,33065,457.0905,60381.271840711,678.49,52.49311,-54.6957,125,,,87.0,116.0,1,-1
126,6.1,71,78,7,8,8,130,161,33288,460.1733,60381.271876391,35.71,52.61432,-54.85832,126,,,71.0,78.0,1,-1
127,6.4,124,117,1,15,161,130,168,33295,460.2701,60381.271877511,718.664,52.21777,-54.69191,127,,,124.0,117.0,1,-1
128,6.0,53,82,0,140,68,131,158,33676,465.537,60381.271938471,303.535,52.74872,-54.84044,128,,,53.0,82.0,1,-1
129,6.0,90,166,0,100,48,132,158,33892,468.523,60381.271973031,214.26,52.46946,-54.48083,129,,,90.0,166.0,1,-1
131,6.0,59,170,0,160,55,134,159,34464,476.4303,60381.272064551,245.506,52.69901,-54.46261,131,,,59.0,170.0,1,-1
132,6.2,251,110,0,104,122,134,164,34408,475.6562,60381.272055591,544.578,51.27509,-54.71741,132,,,251.0,110.0,1,-1
133,6.5,31,147,1,23,23,135,170,34583,478.0754,60381.272083591,102.666,52.90818,-54.56013,133,0.0,0.0,31.0,147.0,2,-1
134,6.1,185,18,1,107,40,135,161,34667,479.2366,60381.272097031,178.55,51.76189,-55.11543,134,,,185.0,18.0,1,-1
135,6.0,189,180,1,247,24,136,158,35063,484.7109,60381.272160391,107.13,51.7384,-54.4199,135,,,189.0,180.0,1,-1
136,6.4,195,129,1,248,159,136,169,35064,484.7247,60381.272160551,709.736,51.69117,-54.639,136,,,195.0,129.0,1,-1
137,6.2,165,113,3,91,161,137,162,35163,486.0933,60381.272176391,718.664,51.91304,-54.70868,137,,,165.0,113.0,1,-1
138,6.1,88,239,3,230,93,138,160,35558,491.5538,60381.272239591,415.129,52.48351,-54.16628,138,,,88.0,239.0,1,-1
139,6.2,141,161,3,128,104,138,162,35456,490.1437,60381.272223271,464.23,52.09198,-54.50273,139,,,141.0,161.0,1,-1
140,6.0,120,126,0,38,0,139,158,35622,492.4385,60381.272249831,0.0,52.24744,-54.65323,140,,,120.0,126.0,1,-1
141,6.3,119,7,0,220,36,139,166,35804,494.9545,60381.272278951,160.695,52.25776,-55.16346,141,,,119.0,7.0,1,-1
142,6.0,221,120,1,23,153,139,158,35607,492.2312,60381.272247431,682.954,51.49806,-54.67641,142,,,221.0,120.0,1,-1
143,6.0,200,112,0,30,19,140,158,35870,495.8669,60381.272289511,84.811,51.65321,-54.71182,143,,,200.0,112.0,1,-1
144,6.1,226,196,0,183,37,140,160,36023,497.982,60381.272313991,165.159,51.46746,-54.34924,144,,,226.0,196.0,1,-1
145,6.3,111,85,3,198,145,140,165,36038,498.1893,60381.272316391,647.244,52.31512,-54.82919,145,0.0,0.0,111.0,85.0,2,-1
146,6.3,117,69,3,143,121,143,167,36751,508.0458,60381.272430471,540.114,52.2707,-54.89787,146,0.0,0.0,117.0,69.0,2,-1
147,6.4,136,27,0,178,6,144,168,37042,512.0686,60381.272477031,26.783,52.12938,-55.07785,147,0.7071067811865476,0.0,135.5,27.0,2,-1
148,6.0,36,164,1,86,118,144,158,36950,510.7968,60381.272462311,526.723,52.8699,-54.4873,148,,,36.0,164.0,1,-1
149,6.2,161,253,6,158,0,145,163,37278,515.3311,60381.272514791,0.0,51.94842,-54.10603,149,,,161.0,253.0,1,-1
150,6.4,179,42,1,150,76,147,168,37782,522.2983,60381.272595431,339.245,51.8072,-55.01284,150,,,179.0,42.0,1,-1
151,6.2,186,193,3,234,139,147,162,37866,523.4596,60381.272608871,620.461,51.7613,-54.36403,151,,,186.0,193.0,1,-1
152,6.1,92,219,3,104,153,147,160,37736,521.6625,60381.272588071,682.954,52.4541,-54.25261,152,,,92.0,219.0,1,-1
153,6.1,99,167,1,153,0,148,161,38041,525.8788,60381.272636871,0.0,52.4028,-54.47671,153,,,99.0,167.0,1,-1
154,6.4,40,227,1,233,13,148,168,38121,526.9847,60381.272649671,58.029,52.83709,-54.21617,154,0.7071067811865476,0.0,39.5,227.0,2,-1
155,6.2,62,64,5,254,137,148,163,38142,527.275,60381.272653031,611.534,52.68261,-54.91801,155,,,62.0,64.0,1,-1
156,6.1,38,23,0,178,84,149,161,38322,529.7633,60381.272681831,374.955,52.86646,-55.09251,156,,,38.0,23.0,1,-1
157,6.2,229,199,0,214,39,150,163,38614,533.7999,60381.272728551,174.086,51.4457,-54.33614,157,,,229.0,199.0,1,-1
158,6.0,186,33,0,195,112,150,158,38595,533.5373,60381.272725511,499.94,51.75466,-55.05116,158,,,186.0,33.0,1,-1
159,6.0,198,196,0,255,18,151,159,38911,537.9056,60381.272776071,80.348,51.67322,-54.35065,159,,,198.0,196.0,1,-1
160,6.5,202,125,0,134,139,151,170,38790,536.233,60381.272756711,620.461,51.6391,-54.65589,160,,,202.0,125.0,1,-1
161,6.2,239,148,6,52,1,152,163,38964,538.6384,60381.272784552,4.464,51.36727,-54.55498,161,,,239.0,148.0,1,-1
162,6.0,240,95,3,108,9,152,159,39020,539.4125,60381.272793511,40.174,51.35533,-54.78258,162,0.0,0.7071067811865476,240.0,95.5,2,-1
163,6.2,49,137,0,49,25,152,162,38961,538.5969,60381.272784071,111.594,52.77494,-54.60408,163,0.7071067811865476,0.0,49.5,137.0,2,-1
164,6.0,251,119,0,144,87,152,159,39056,539.9102,60381.272799271,388.346,51.27591,-54.67876,164,,,251.0,119.0,1,-1
165,6.0,122,5,5,64,83,153,158,39232,542.3431,60381.272827431,370.491,52.23525,-55.17202,165,,,122.0,5.0,1,-1
166,6.0,135,194,0,14,35,154,159,39438,545.1909,60381.272860391,156.231,52.13699,-54.36071,166,,,135.0,194.0,1,-1
167,6.2,172,135,5,188,75,154,162,39612,547.5963,60381.272888231,334.781,51.86179,-54.61399,167,,,172.0,135.0,1,-1
168,6.1,62,31,1,160,157,155,161,39840,550.7482,60381.272924711,700.809,52.68507,-55.05941,168,,,62.0,31.0,1,-1
169,6.0,229,199,0,111,59,156,159,40047,553.6097,60381.272957831,263.361,51.44568,-54.33614,169,,,229.0,199.0,1,-1
170,6.5,44,141,3,80,26,158,172,40528,560.2591,60381.273034791,116.058,52.81188,-54.58664,170,0.0,0.0,44.0,141.0,2,-1
