,snr,lpix,mpix,boxc_width,time,dm,iblk,rawsn,total_sample,obstime_sec,mjd,dm_pccm3,ra_deg,dec_deg,total_sample_middle,cluster_id,spatial_id,mSNR,mSlope,mSlopeSmooth,lpix_rms,mpix_rms,num_samps,centl,centm,num_spatial,PSR_name,PSR_sep,RACS_name,RACS_sep,NEW_name,NEW_sep,ALIAS_name,ALIAS_sep
74,6.5,209,133,6,67,231,5,203,1347,18.6209,60424.608089351,888.723,191.40347,-63.92746,1229.3670654296875,76,-1,1.0,0.0,0.0,0.0,0.0,9,209.0,133.0,1,,,,,,,,
76,6.5,146,153,7,214,245,5,202,1494,20.6531,60424.608112871,942.585,192.01982,-63.84427,1369.2378005981445,78,-1,1.0,0.0,0.0,0.0,0.0,3,146.0,153.0,1,,,,,,,,
82,18.6,10,25,1,85,77,6,581,1621,22.4087,60424.608133191,296.241,193.36887,-64.38684,1581.7890243530273,84,-1,1.0,0.0,0.0,0.972,0.333,119,10.55,25.13,1,,,,,,,J1243-6423,12.069189609371922
83,13.9,10,25,1,113,77,6,435,1649,22.7958,60424.608137671,296.241,193.36887,-64.38684,1609.7890243530273,85,-1,1.0,0.0,0.0,0.808,0.391,65,10.42,25.82,1,,,,,,,J1243-6423,12.069189609371922
85,15.7,10,25,0,28,77,6,492,1564,21.6207,60424.608124071,296.241,193.36887,-64.38684,1524.7890243530273,87,-1,1.0,0.0,0.0,0.76,0.364,71,10.37,25.85,1,,,,,,,J1243-6423,12.069189609371922
86,18.2,10,25,0,56,77,6,570,1592,22.0078,60424.608128551,296.241,193.36887,-64.38684,1552.7890243530273,88,-1,1.0,0.0,0.0,0.888,0.478,53,10.43,25.66,1,,,,,,,J1243-6423,12.069189609371922
87,8.5,10,26,1,225,77,6,265,1761,24.3441,60424.608155591,296.241,193.36867,-64.38257,1721.7890243530273,89,-1,1.0,0.0,0.0,0.505,0.0,11,10.36,26.0,1,,,,,,,J1243-6423,26.95903646358354
88,7.8,10,26,0,196,76,6,243,1732,23.9432,60424.608150951,292.394,193.36867,-64.38257,1693.2982177734375,90,-1,1.0,0.0,0.0,0.527,0.333,9,10.56,25.89,1,,,,,,,J1243-6423,26.95903646358354
89,6.9,11,26,0,253,78,6,216,1789,24.7311,60424.608160071,300.088,193.35872,-64.38268,1749.2798309326172,91,-1,1.0,0.0,0.0,0.548,0.0,5,10.6,26.0,1,,,,,,,J1243-6423,28.092108532770144
92,6.6,29,12,4,124,212,6,206,1660,22.9478,60424.608139431,815.625,193.182,-64.44424,1552.0424575805664,94,-1,1.0,0.0,0.0,0.0,0.0,5,29.0,12.0,1,,,,,,,,
93,6.5,213,58,0,241,245,6,202,1777,24.5652,60424.608158151,942.585,191.35487,-64.24882,1652.2378005981445,95,-1,1.0,0.0,0.0,0.0,0.0,5,213.0,58.0,1,,,,,,,,
97,8.2,11,25,0,222,77,7,256,2014,27.8415,60424.608196071,296.241,193.3589,-64.38695,1974.7890243530273,99,-1,1.0,0.0,0.0,0.519,0.519,13,10.46,25.46,1,,,,,,,J1243-6423,15.208514231835801
98,8.3,10,26,0,250,77,7,260,2042,28.2286,60424.608200551,296.241,193.36867,-64.38257,2002.7890243530273,100,-1,1.0,0.0,0.0,0.535,0.463,8,10.5,25.25,1,,,,,,,J1243-6423,26.95903646358354
109,14.3,10,25,1,191,77,8,447,2239,30.9519,60424.608232071,296.241,193.36887,-64.38684,2199.7890243530273,111,-1,1.0,0.0,0.0,0.824,0.497,67,10.33,25.42,1,,,,,,,J1243-6423,12.069189609371922
110,15.2,10,25,0,78,77,8,477,2126,29.3898,60424.608213991,296.241,193.36887,-64.38684,2086.7890243530273,112,-1,1.0,0.0,0.0,0.946,0.412,75,10.41,25.21,1,,,,,,,J1243-6423,12.069189609371922
